#Name, Pixels, Particles, locality, Exec Time, Frame Mean, Frame STDEV (ms)
MEM_ASYNC, 1048576, 1048576, 512, 14492.3, 28.9267, 0.611542
MEM_ASYNC, 1048576, 1048576, 256, 14502.3, 28.9466, 0.208233
MEM_ASYNC, 1048576, 1048576, 128, 14644, 29.2295, 0.318716
MEM_ASYNC, 1048576, 1048576, 64, 14956.3, 29.8529, 0.203572
MEM_ASYNC, 1048576, 1048576, 32, 15389.4, 30.7174, 0.584848
MEM_ASYNC, 1048576, 1048576, 16, 16044.2, 32.0243, 0.418055
MEM_ASYNC, 1048576, 1048576, 8, 16939.4, 33.8111, 1.18178
MEM_ASYNC, 1048576, 1048576, 4, 18828.1, 37.5811, 0.30016
MEM_ASYNC, 1048576, 1048576, 2, 21399.8, 42.7141, 0.565795
MEM_ASYNC, 1048576, 1048576, 1, 22972.6, 45.8535, 0.471372
MEM_ASYNC, 1048576, 1048576, 0.5, 23761.5, 47.4281, 0.522473
MEM_ASYNC, 1048576, 1048576, 0.25, 24388.9, 48.6804, 0.420982
MEM_ASYNC, 1048576, 1048576, 0.125, 25000.8, 49.9018, 0.281745
MEM_ASYNC, 1048576, 1048576, 0.0625, 25326.8, 50.5524, 0.353441
