#Name, Pixels, Particles, locality, Exec Time, Frame Mean, Frame STDEV (ms)
MEM_SEQ, 1048576, 1048576, 512, 14446.4, 28.8351, 0.166279
MEM_SEQ, 1048576, 1048576, 256, 14564.1, 29.0701, 0.192416
MEM_SEQ, 1048576, 1048576, 128, 14685.3, 29.312, 0.170719
MEM_SEQ, 1048576, 1048576, 64, 15024.5, 29.989, 0.170999
MEM_SEQ, 1048576, 1048576, 32, 15424.7, 30.7878, 0.20211
MEM_SEQ, 1048576, 1048576, 16, 16084.9, 32.1056, 0.208852
MEM_SEQ, 1048576, 1048576, 8, 17005.4, 33.9429, 0.234426
MEM_SEQ, 1048576, 1048576, 4, 18945.4, 37.8151, 0.27651
MEM_SEQ, 1048576, 1048576, 2, 21489.8, 42.8939, 1.17914
MEM_SEQ, 1048576, 1048576, 1, 23080.9, 46.0696, 0.489629
MEM_SEQ, 1048576, 1048576, 0.5, 23843.8, 47.5924, 0.494626
MEM_SEQ, 1048576, 1048576, 0.25, 24467.5, 48.8374, 0.373929
MEM_SEQ, 1048576, 1048576, 0.125, 25074.1, 50.048, 0.297866
