#Name, Pixels, Particles, Locality, Exec Time, Frame Mean, Frame STDEV (ms)
MEM_ASYNC, 1048576, 1024, 8, 9911.52, 19.7835, 0.16966
MEM_ASYNC, 1048576, 2048, 8, 9934.04, 19.8284, 0.205581
MEM_ASYNC, 1048576, 4096, 8, 9893.29, 19.7471, 0.177823
MEM_ASYNC, 1048576, 8192, 8, 9913.49, 19.7874, 0.21195
MEM_ASYNC, 1048576, 16384, 8, 9968.78, 19.8978, 0.196706
MEM_ASYNC, 1048576, 32768, 8, 10095.3, 20.1502, 0.168513
MEM_ASYNC, 1048576, 65536, 8, 10286.4, 20.5317, 0.187605
MEM_ASYNC, 1048576, 131072, 8, 10714, 21.3852, 0.195038
MEM_ASYNC, 1048576, 262144, 8, 11613.7, 23.1811, 0.182339
MEM_ASYNC, 1048576, 524288, 8, 13364.9, 26.6765, 0.177328
MEM_ASYNC, 1048576, 1048576, 8, 16895.3, 33.7231, 0.225745
MEM_ASYNC, 1048576, 2097152, 8, 23913.8, 47.7321, 1.05717
MEM_ASYNC, 1048576, 4194304, 8, 37998.5, 75.8454, 0.245694
