#Name, Pixels, Particles, Locality, Exec Time, Frame Mean, Frame STDEV (ms)
MEM_MQUEUE, 1048576, 1024, 8, 9921.04, 19.8025, 0.195688
MEM_MQUEUE, 1048576, 2048, 8, 9929.15, 19.8187, 0.208523
MEM_MQUEUE, 1048576, 4096, 8, 9931.06, 19.8225, 0.185932
MEM_MQUEUE, 1048576, 8192, 8, 9959.35, 19.8789, 0.215008
MEM_MQUEUE, 1048576, 16384, 8, 10008.8, 19.9776, 0.182088
MEM_MQUEUE, 1048576, 32768, 8, 10120.6, 20.2007, 0.225547
MEM_MQUEUE, 1048576, 65536, 8, 10338.2, 20.6352, 0.232654
MEM_MQUEUE, 1048576, 131072, 8, 10791.2, 21.5392, 0.286265
MEM_MQUEUE, 1048576, 262144, 8, 11611, 23.1757, 0.346935
MEM_MQUEUE, 1048576, 524288, 8, 13353.5, 26.6537, 0.413007
MEM_MQUEUE, 1048576, 1048576, 8, 16214.9, 32.365, 1.53095
MEM_MQUEUE, 1048576, 2097152, 8, 19909.2, 39.739, 2.03077
MEM_MQUEUE, 1048576, 4194304, 8, 31000.6, 61.8774, 1.25533
