#Name, Pixels, Particles, Locality, Exec Time, Frame Mean, Frame STDEV (ms)
MEM_SEQ, 1048576, 1024, 8, 9965.28, 19.8908, 0.197715
MEM_SEQ, 1048576, 2048, 8, 9964.52, 19.8893, 0.213713
MEM_SEQ, 1048576, 4096, 8, 9963.34, 19.8869, 0.18348
MEM_SEQ, 1048576, 8192, 8, 10020.4, 20.0008, 0.180504
MEM_SEQ, 1048576, 16384, 8, 10049.5, 20.0589, 0.178023
MEM_SEQ, 1048576, 32768, 8, 10190, 20.3394, 0.184409
MEM_SEQ, 1048576, 65536, 8, 10414, 20.7865, 0.180319
MEM_SEQ, 1048576, 131072, 8, 10834.2, 21.6252, 0.194229
MEM_SEQ, 1048576, 262144, 8, 11731.6, 23.4163, 0.219898
MEM_SEQ, 1048576, 524288, 8, 13476.4, 26.8989, 0.198019
MEM_SEQ, 1048576, 1048576, 8, 16995.9, 33.9239, 0.209681
MEM_SEQ, 1048576, 2097152, 8, 24058.2, 48.0203, 0.214393
MEM_SEQ, 1048576, 4194304, 8, 38091.9, 76.0318, 0.233586
