#Name, Pixels, Particles, Locality, RunTime, Frame Mean, STDEV, Graph, STDEV, Compute, STDEV, Compute2, STDEV
MEM_MQUEUE, 1048576, 1048576, 0.25, 17265.1, 43.0552, 2.49808, 3.13028, 1.07225, 35.9334, 0.873905, 16.433, 0.778097
MEM_MQUEUE, 1048576, 1048576, 0.329877, 17135, 42.7306, 2.49226, 3.11574, 1.10269, 35.5926, 0.875798, 16.3727, 0.786811
MEM_MQUEUE, 1048576, 1048576, 0.435275, 16906.4, 42.1607, 2.19098, 3.19374, 0.96072, 35.2572, 0.874458, 16.4176, 0.721394
MEM_MQUEUE, 1048576, 1048576, 0.574349, 16685.8, 41.6105, 2.58068, 3.21236, 0.948135, 34.6922, 0.921031, 16.3964, 0.757299
MEM_MQUEUE, 1048576, 1048576, 0.757858, 16497.7, 41.1413, 2.2235, 3.12351, 1.0889, 34.3368, 0.984334, 16.4119, 0.718371
MEM_MQUEUE, 1048576, 1048576, 1, 16286.8, 40.6154, 2.16097, 3.1673, 1.01022, 33.8502, 0.979855, 16.38, 0.717301
MEM_MQUEUE, 1048576, 1048576, 1.31951, 16075.5, 40.0884, 2.1279, 3.14766, 1.08374, 33.027, 1.05933, 16.3037, 0.713731
MEM_MQUEUE, 1048576, 1048576, 1.7411, 15747.5, 39.2705, 2.16455, 3.11103, 1.1617, 31.7247, 1.19168, 16.1492, 0.703001
MEM_MQUEUE, 1048576, 1048576, 2.2974, 15209.8, 37.9297, 1.66207, 3.30636, 0.928422, 30.5913, 1.09849, 16.2123, 0.609364
MEM_MQUEUE, 1048576, 1048576, 3.03143, 14541.2, 36.2624, 1.63614, 3.26714, 1.01426, 28.5245, 1.2469, 16.1246, 0.608338
MEM_MQUEUE, 1048576, 1048576, 4, 13789.1, 34.3868, 1.21338, 3.42857, 0.799073, 26.5746, 1.12592, 16.1116, 0.498708
MEM_MQUEUE, 1048576, 1048576, 5.27803, 13294.8, 33.1541, 1.45321, 3.32, 0.988015, 24.5748, 1.51451, 15.5366, 0.614785
MEM_MQUEUE, 1048576, 1048576, 6.96441, 12976, 32.3592, 1.52946, 2.90488, 1.40327, 22.8792, 1.89596, 15.5222, 0.679707
MEM_MQUEUE, 1048576, 1048576, 9.18959, 12515.2, 31.21, 1.206, 3.20133, 1.15539, 22.2387, 1.68578, 15.7319, 0.648003
MEM_MQUEUE, 1048576, 1048576, 12.1257, 12331.8, 30.7527, 1.31658, 2.95529, 1.36028, 21.4082, 1.94643, 15.7248, 0.670687
MEM_MQUEUE, 1048576, 1048576, 16, 11964.7, 29.8371, 1.02998, 3.31599, 1.02646, 21.3313, 1.6485, 15.8254, 0.586323
MEM_MQUEUE, 1048576, 1048576, 21.1121, 11735.8, 29.2665, 0.937679, 3.34353, 0.986611, 20.7973, 1.58714, 15.8259, 0.592382
MEM_MQUEUE, 1048576, 1048576, 27.8576, 11620.9, 28.9797, 1.03485, 3.23348, 1.12939, 20.1538, 1.73271, 15.7554, 0.601187
MEM_MQUEUE, 1048576, 1048576, 36.7584, 11464.7, 28.5904, 1.02451, 3.21697, 1.15449, 19.7757, 1.77965, 15.7709, 0.592576
MEM_MQUEUE, 1048576, 1048576, 48.5029, 11268.6, 28.1012, 0.764144, 3.43261, 0.831701, 19.77, 1.39659, 15.7981, 0.540437
MEM_MQUEUE, 1048576, 1048576, 64, 11178.1, 27.8756, 0.762309, 3.50361, 0.716239, 19.4438, 1.3922, 15.7776, 0.555941
MEM_MQUEUE, 1048576, 1048576, 84.4485, 11119.2, 27.7286, 0.881403, 3.34062, 0.953058, 19.0104, 1.61702, 15.7225, 0.564264
MEM_MQUEUE, 1048576, 1048576, 111.43, 11081.5, 27.6346, 0.992895, 3.22839, 1.13155, 18.7019, 1.80245, 15.729, 0.586136
MEM_MQUEUE, 1048576, 1048576, 147.033, 10980.8, 27.3835, 0.88473, 3.33417, 0.988471, 18.7068, 1.66394, 15.7578, 0.566871
MEM_MQUEUE, 1048576, 1048576, 194.012, 10986.7, 27.3982, 1.01892, 3.13956, 1.20652, 18.3261, 1.91192, 15.7047, 0.610849
MEM_MQUEUE, 1048576, 1048576, 256, 10929, 27.2545, 0.965406, 3.22213, 1.15135, 18.3245, 1.80838, 15.7171, 0.583197
MEM_MQUEUE, 1048576, 1048576, 337.794, 10917.4, 27.2255, 1.01041, 3.16135, 1.20079, 18.1644, 1.92559, 15.7176, 0.596838
MEM_MQUEUE, 1048576, 1048576, 445.722, 10828.8, 27.0046, 0.900895, 3.28824, 1.0567, 18.2923, 1.73135, 15.7351, 0.568816
MEM_MQUEUE, 1048576, 1048576, 588.133, 10852.6, 27.0638, 0.951087, 3.23048, 1.12658, 18.0901, 1.85952, 15.7311, 0.585406
MEM_MQUEUE, 1048576, 1048576, 776.047, 10745.4, 26.7965, 0.829511, 3.38108, 0.932247, 18.3991, 1.58434, 15.7761, 0.539836
MEM_MQUEUE, 1048576, 1048576, 1024, 10773.2, 26.8658, 0.860902, 3.33073, 0.993117, 18.227, 1.70885, 15.7524, 0.5588
MEM_MQUEUE, 1048576, 1048576, 1351.18, 10766.3, 26.8487, 0.900542, 3.2835, 1.06258, 18.102, 1.78854, 15.7475, 0.565281
