#Name, Pixels, Particles, Locality, RunTime, Frame Mean, STDEV, Graph, STDEV, Compute, STDEV
MEM_SEQ, 1048576, 1048576, 0.25, 19603.1, 48.8856, 0.395977, 0.0827645, 0.0200714, 48.3624, 0.362236
MEM_SEQ, 1048576, 1048576, 0.329877, 19423.5, 48.4377, 0.424951, 0.0850775, 0.023942, 47.9254, 0.394423
MEM_SEQ, 1048576, 1048576, 0.435275, 19229.2, 47.9531, 0.48796, 0.0883518, 0.0278005, 47.4143, 0.441833
MEM_SEQ, 1048576, 1048576, 0.574349, 18971.6, 47.3107, 0.496877, 0.0905918, 0.0285535, 46.7678, 0.468177
MEM_SEQ, 1048576, 1048576, 0.757858, 18774.6, 46.8195, 0.47769, 0.0941265, 0.0314965, 46.2663, 0.440962
MEM_SEQ, 1048576, 1048576, 1, 18484.8, 46.0969, 0.476778, 0.0987974, 0.0341325, 45.5374, 0.419201
MEM_SEQ, 1048576, 1048576, 1.31951, 18112.3, 45.1677, 0.510813, 0.106125, 0.0382952, 44.5764, 0.435829
MEM_SEQ, 1048576, 1048576, 1.7411, 17510.5, 43.6671, 0.551135, 0.113215, 0.0395818, 43.0663, 0.475399
MEM_SEQ, 1048576, 1048576, 2.2974, 16867.8, 42.0644, 0.668557, 0.118976, 0.039821, 41.4443, 0.541364
MEM_SEQ, 1048576, 1048576, 3.03143, 16095.8, 40.1392, 0.488143, 0.149425, 0.0213086, 39.4233, 0.410451
MEM_SEQ, 1048576, 1048576, 4, 15156, 37.7956, 0.288004, 0.15503, 0.0120639, 37.078, 0.250772
MEM_SEQ, 1048576, 1048576, 5.27803, 14464.2, 36.0703, 0.258927, 0.155338, 0.00556122, 35.3532, 0.237254
MEM_SEQ, 1048576, 1048576, 6.96441, 13853.5, 34.5474, 0.202105, 0.156, 0.00750726, 33.8239, 0.175229
MEM_SEQ, 1048576, 1048576, 9.18959, 13428.1, 33.4865, 0.198508, 0.156105, 0.00758494, 32.7681, 0.189429
MEM_SEQ, 1048576, 1048576, 12.1257, 13125.8, 32.7327, 0.214385, 0.155384, 0.00136679, 32.0112, 0.179905
MEM_SEQ, 1048576, 1048576, 16, 12867.8, 32.0892, 0.201845, 0.155443, 0.00128531, 31.3738, 0.159161
MEM_SEQ, 1048576, 1048576, 21.1121, 12623.1, 31.479, 0.212338, 0.155906, 0.0074815, 30.7652, 0.178382
MEM_SEQ, 1048576, 1048576, 27.8576, 12438.3, 31.0181, 0.19203, 0.155558, 0.00120853, 30.294, 0.161732
MEM_SEQ, 1048576, 1048576, 36.7584, 12265, 30.5859, 0.184648, 0.156165, 0.00751658, 29.8613, 0.160526
MEM_SEQ, 1048576, 1048576, 48.5029, 12137.4, 30.2678, 0.196519, 0.156049, 0.00140818, 29.5502, 0.171837
MEM_SEQ, 1048576, 1048576, 64, 12020.1, 29.9754, 0.172502, 0.15539, 0.00125809, 29.2527, 0.155693
MEM_SEQ, 1048576, 1048576, 84.4485, 11897.4, 29.6693, 0.194915, 0.155467, 0.00130519, 28.9512, 0.15997
MEM_SEQ, 1048576, 1048576, 111.43, 11809.6, 29.4505, 0.192386, 0.155579, 0.00130302, 28.733, 0.165725
MEM_SEQ, 1048576, 1048576, 147.033, 11743.2, 29.2849, 0.188885, 0.155481, 0.00128952, 28.5654, 0.151957
MEM_SEQ, 1048576, 1048576, 194.012, 11684.5, 29.1385, 0.185958, 0.15629, 0.00744378, 28.4251, 0.151351
MEM_SEQ, 1048576, 1048576, 256, 11646.2, 29.043, 0.184746, 0.155544, 0.00126459, 28.3279, 0.156321
MEM_SEQ, 1048576, 1048576, 337.794, 11605, 28.9402, 0.193837, 0.155526, 0.00133921, 28.2104, 0.158647
MEM_SEQ, 1048576, 1048576, 445.722, 11565, 28.8404, 0.200143, 0.156249, 0.00754558, 28.1291, 0.156117
MEM_SEQ, 1048576, 1048576, 588.133, 11549.3, 28.8012, 0.19811, 0.155601, 0.00115122, 28.0789, 0.167266
MEM_SEQ, 1048576, 1048576, 776.047, 11512.6, 28.7097, 0.182806, 0.155325, 0.00123312, 28.0074, 0.156645
MEM_SEQ, 1048576, 1048576, 1024, 11510.7, 28.7049, 0.188033, 0.155879, 0.00735751, 27.982, 0.161218
MEM_SEQ, 1048576, 1048576, 1351.18, 11491.9, 28.6581, 0.182962, 0.155599, 0.00765278, 27.942, 0.16191
