#Name, Pixels, Particles, Locality, RunTime, Frame Mean, STDEV, Graph, STDEV, Compute, STDEV, Compute2, STDEV
MEM_MQUEUE, 262144, 65536, 8, 2337.35, 5.82879, 0.228811, 0.284253, 0.274913, 4.68253, 0.237071, 0.96535, 0.0781917
MEM_MQUEUE, 262144, 131072, 8, 2676.42, 6.67436, 0.229379, 0.90104, 0.542817, 4.7104, 0.321484, 1.90444, 0.134478
MEM_MQUEUE, 262144, 196608, 8, 2993.96, 7.46623, 0.310163, 1.17413, 0.56126, 4.89441, 0.471705, 2.82703, 0.209995
MEM_MQUEUE, 262144, 262144, 8, 3258.54, 8.12603, 0.380464, 1.17916, 0.576549, 5.28034, 0.560042, 3.91322, 0.234079
MEM_MQUEUE, 262144, 327680, 8, 3476.43, 8.66941, 0.457655, 1.13843, 0.60513, 5.78764, 0.65079, 4.95867, 0.232326
MEM_MQUEUE, 262144, 393216, 8, 3707.24, 9.24498, 0.50475, 1.11132, 0.625838, 6.33918, 0.748596, 6.00816, 0.280398
MEM_MQUEUE, 262144, 458752, 8, 3945.46, 9.83906, 0.526296, 1.10981, 0.619319, 6.81408, 0.812874, 7.00117, 0.313541
MEM_MQUEUE, 262144, 524288, 8, 4212.02, 10.5038, 0.628694, 1.09319, 0.630224, 7.28786, 0.930705, 8.04364, 0.387953
MEM_MQUEUE, 262144, 589824, 8, 4309.27, 10.7463, 0.50445, 1.15919, 0.589015, 7.76947, 0.735186, 8.84237, 0.231074
MEM_MQUEUE, 262144, 655360, 8, 4614.96, 11.5086, 0.549046, 1.15139, 0.596393, 8.52704, 0.719699, 10.1193, 0.35724
MEM_MQUEUE, 262144, 720896, 8, 4883.08, 12.1773, 0.668, 1.15848, 0.59667, 8.90701, 1.02925, 11.0419, 0.38643
MEM_MQUEUE, 262144, 786432, 8, 5130.82, 12.7951, 0.765285, 1.12347, 0.612839, 9.36345, 1.23127, 12.0065, 0.407823
MEM_MQUEUE, 262144, 851968, 8, 5403.28, 13.4745, 0.741568, 1.16205, 0.586155, 9.76173, 1.25554, 12.9419, 0.393759
MEM_MQUEUE, 262144, 917504, 8, 5699.17, 14.2124, 0.72039, 1.20202, 0.558326, 10.0531, 1.10649, 13.7769, 0.346112
MEM_MQUEUE, 262144, 983040, 8, 6007.06, 14.9802, 1.1647, 0.880526, 0.701771, 10.3404, 0.834463, 14.6269, 0.339155
MEM_MQUEUE, 262144, 1048576, 8, 6370.39, 15.8863, 0.632442, 1.10311, 0.623581, 10.3797, 0.918417, 15.5316, 0.317526
MEM_MQUEUE, 262144, 1114112, 8, 6677.33, 16.6517, 0.822183, 1.24309, 0.498888, 9.97122, 1.096, 16.1153, 0.239047
MEM_MQUEUE, 262144, 1179648, 8, 7033.07, 17.5388, 0.459048, 1.10427, 0.620814, 10.4642, 0.620687, 17.269, 0.286705
MEM_MQUEUE, 262144, 1245184, 8, 7370.01, 18.3791, 0.310583, 1.14108, 0.595162, 10.5506, 0.381514, 18.1493, 0.293022
MEM_MQUEUE, 262144, 1310720, 8, 7725.37, 19.2653, 0.302276, 1.02863, 0.655094, 10.5134, 0.404223, 19.0299, 0.279592
MEM_MQUEUE, 262144, 1376256, 8, 8077.05, 20.1423, 0.289851, 0.977666, 0.677133, 10.5226, 0.372912, 19.9083, 0.268727
MEM_MQUEUE, 262144, 1441792, 8, 8427.57, 21.0164, 0.283573, 0.986239, 0.67138, 10.4961, 0.37982, 20.7846, 0.280926
MEM_MQUEUE, 262144, 1507328, 8, 8799.13, 21.943, 0.350992, 1.03585, 0.644044, 10.489, 0.547454, 21.7012, 0.303708
MEM_MQUEUE, 262144, 1572864, 8, 9152.55, 22.8243, 0.322826, 1.0706, 0.635067, 10.5358, 0.448599, 22.6038, 0.306054
MEM_MQUEUE, 262144, 1638400, 8, 9507.07, 23.7084, 0.306606, 1.00793, 0.666451, 10.5747, 0.456468, 23.4815, 0.29685
MEM_MQUEUE, 262144, 1703936, 8, 9866.74, 24.6053, 0.322622, 1.00218, 0.663618, 10.5841, 0.467832, 24.3695, 0.300173
MEM_MQUEUE, 262144, 1769472, 8, 10212.3, 25.467, 0.309743, 0.877387, 0.701438, 10.5474, 0.457597, 25.2243, 0.289028
MEM_MQUEUE, 262144, 1835008, 8, 10561.8, 26.3387, 0.340468, 0.934689, 0.693803, 10.4955, 0.534101, 26.0795, 0.267479
MEM_MQUEUE, 262144, 1900544, 8, 10915.4, 27.2206, 0.3305, 0.933096, 0.682213, 10.5069, 0.481652, 26.9663, 0.256854
MEM_MQUEUE, 262144, 1966080, 8, 11274.3, 28.1153, 0.33012, 0.807276, 0.707535, 10.5757, 0.445669, 27.8645, 0.325154
MEM_MQUEUE, 262144, 2031616, 8, 11614.3, 28.9634, 0.319952, 0.800757, 0.708572, 10.5397, 0.479161, 28.7075, 0.303268
MEM_MQUEUE, 262144, 2097152, 8, 11958.4, 29.8214, 0.314166, 0.919383, 0.684316, 10.5125, 0.455433, 29.5714, 0.279537
